"","Product","Sub.issue","Company"
"304109","Student loan","Can't get flexible payment options","ACS Education Services"
"304119","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"304173","Student loan","Can't decrease my monthly payments","KeyBank NA"
"304174","Student loan","Keep getting calls about my loan","Navient Solutions, Inc."
"304292","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"304340","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"304351","Student loan","Trouble with how payments are handled","ACS Education Services"
"304364","Student loan","Trouble with how payments are handled","Sallie Mae"
"304405","Student loan","Keep getting calls about my loan","Asset Recovery Solutions, LLC"
"304431","Student loan","Trouble with how payments are handled","Bank of America"
"304471","Student loan","Can't get flexible payment options","Wells Fargo & Company"
"304500","Student loan","Can't temporarily postpone payments","Navient Solutions, Inc."
"304588","Student loan","Received bad information about my loan","Navient Solutions, Inc."
"304590","Student loan","Can't get flexible payment options","Performant Financial Corporation"
"304693","Student loan","Keep getting calls about my loan","Sallie Mae"
"304720","Student loan","Received bad information about my loan","Navient Solutions, Inc."
"304724","Student loan","Can't get flexible payment options","Weltman, Weinberg & Reis"
"304775","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"304880","Student loan","Can't decrease my monthly payments","First Associates Loan Servicing LLC"
"304910","Student loan","Having problems with customer service","Navient Solutions, Inc."
"304925","Student loan","Trouble with how payments are handled","Wells Fargo & Company"
"304962","Student loan","Received bad information about my loan","Discover"
"305009","Student loan","Keep getting calls about my loan","JPMorgan Chase & Co."
"305072","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"305074","Student loan","Don't agree with fees charged","Navient Solutions, Inc."
"305093","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"305095","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"305097","Student loan","Can't get flexible payment options","JPMorgan Chase & Co."
"305150","Student loan","Received bad information about my loan","Navient Solutions, Inc."
"305188","Student loan","Having problems with customer service","Navient Solutions, Inc."
"305211","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"305229","Student loan","Can't decrease my monthly payments","JPMorgan Chase & Co."
"305240","Student loan","Can't temporarily postpone payments","Sallie Mae"
"305337","Student loan","Keep getting calls about my loan","Navient Solutions, Inc."
"305374","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"305568","Student loan","Trouble with how payments are handled","AES/PHEAA"
"305576","Student loan","Need information about my balance/terms","Discover"
"305617","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"305621","Student loan","Can't qualify for a loan","Wells Fargo & Company"
"305666","Student loan","Can't qualify for a loan","Sallie Mae"
"305727","Student loan","Keep getting calls about my loan","Navient Solutions, Inc."
"305749","Student loan","Need information about my balance/terms","AES/PHEAA"
"305756","Student loan","Can't get flexible payment options","Citibank"
"305762","Student loan","Can't get flexible payment options","Expert Global Solutions, Inc."
"305770","Student loan","Having problems with customer service","Navient Solutions, Inc."
"305825","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"305831","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"305856","Student loan","Received bad information about my loan","AES/PHEAA"
"306014","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"306056","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"306094","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"306122","Student loan","Having problems with customer service","Navient Solutions, Inc."
"306143","Student loan","Can't decrease my monthly payments","MOHELA"
"306246","Student loan","Received bad information about my loan","Navient Solutions, Inc."
"306247","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"306326","Student loan","Trouble with how payments are handled","Sallie Mae"
"306405","Student loan","Can't get flexible payment options","Sallie Mae"
"306479","Student loan","Having problems with customer service","KeyBank NA"
"306484","Student loan","Can't get flexible payment options","Expert Global Solutions, Inc."
"306495","Student loan","Can't temporarily postpone payments","Navient Solutions, Inc."
"306499","Student loan","Can't qualify for a loan","Social Finance, Inc."
"306518","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"306558","Student loan","Can't get flexible payment options","Expert Global Solutions, Inc."
"306568","Student loan","Trouble with how payments are handled","AES/PHEAA"
"306573","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"306582","Student loan","Received bad information about my loan","Navient Solutions, Inc."
"306601","Student loan","Can't get flexible payment options","Higher Education Student Assistance Authority (HESAA)"
"306642","Student loan","Can't temporarily postpone payments","JPMorgan Chase & Co."
"306697","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"306702","Student loan","Received bad information about my loan","Williams & Fudge, Inc"
"306750","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"306836","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"306853","Student loan","Keep getting calls about my loan","Discover"
"306896","Student loan","Can't decrease my monthly payments","AES/PHEAA"
"306944","Student loan","Having problems with customer service","Citizens Financial Group, Inc."
"306966","Student loan","Having problems with customer service","Navient Solutions, Inc."
"306997","Student loan","Can't get flexible payment options","Heartland Payment Systems"
"307117","Student loan","Need information about my balance/terms","AES/PHEAA"
"307204","Student loan","Can't decrease my monthly payments","Higher Education Student Assistance Authority (HESAA)"
"307219","Student loan","Trouble with how payments are handled","Loan To Learn"
"307233","Student loan","Keep getting calls about my loan","Navient Solutions, Inc."
"307237","Student loan","Having problems with customer service","Wells Fargo & Company"
"307251","Student loan","Don't agree with fees charged","Navient Solutions, Inc."
"307252","Student loan","Having problems with customer service","Navient Solutions, Inc."
"307257","Student loan","Can't decrease my monthly payments","AES/PHEAA"
"307337","Student loan","Having problems with customer service","Navient Solutions, Inc."
"307356","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"307369","Student loan","Problems when you are unable to pay","Navient Solutions, Inc."
"307478","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"307508","Student loan","Keep getting calls about my loan","Navient Solutions, Inc."
"307607","Student loan","Received bad information about my loan","Discover"
"307642","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"307672","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"307674","Student loan","Can't temporarily postpone payments","Navient Solutions, Inc."
"307732","Student loan","Can't temporarily postpone payments","Wells Fargo & Company"
"307737","Student loan","Having problems with customer service","JPMorgan Chase & Co."
"307759","Student loan","Can't temporarily postpone payments","Navient Solutions, Inc."
"307780","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"307806","Student loan","Can't get flexible payment options","Expert Global Solutions, Inc."
"307909","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"307918","Student loan","Can't get flexible payment options","ACS Education Services"
"307974","Student loan","Keep getting calls about my loan","Navient Solutions, Inc."
"308024","Student loan","Trouble with how payments are handled","Citibank"
"308034","Student loan","Having problems with customer service","Navient Solutions, Inc."
"308049","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"308062","Student loan","Trouble with how payments are handled","JPMorgan Chase & Co."
"308120","Student loan","Trouble with how payments are handled","AES/PHEAA"
"308137","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"308192","Student loan","Keep getting calls about my loan","Expert Global Solutions, Inc."
"308210","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"308232","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"308241","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"308346","Student loan","Trouble with how payments are handled","JPMorgan Chase & Co."
"308377","Student loan","Can't temporarily postpone payments","Navient Solutions, Inc."
"308384","Student loan","Can't decrease my monthly payments","AES/PHEAA"
"308402","Student loan","Can't temporarily postpone payments","Navient Solutions, Inc."
"308421","Student loan","Qualify for a better loan than offered","First Associates Loan Servicing LLC"
"308503","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"308537","Student loan","Can't decrease my monthly payments","Iowa Student Loan"
"308570","Student loan","Received bad information about my loan","Navient Solutions, Inc."
"308575","Student loan","Can't get flexible payment options","Wells Fargo & Company"
"308584","Student loan","Need information about my balance/terms","AES/PHEAA"
"308588","Student loan","Received bad information about my loan","Wells Fargo & Company"
"308647","Student loan","Trouble with how payments are handled","Heartland Payment Systems"
"308685","Student loan","Can't temporarily postpone payments","Navient Solutions, Inc."
"308706","Student loan","Having problems with customer service","Navient Solutions, Inc."
"308728","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"308742","Student loan","Received bad information about my loan","Wells Fargo & Company"
"308833","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"308850","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"308883","Student loan","Keep getting calls about my loan","AES/PHEAA"
"308894","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"308903","Student loan","Need information about my balance/terms","ACS Education Services"
"308909","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"308911","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"308920","Student loan","Received bad information about my loan","ACS Education Services"
"308921","Student loan","Need information about my balance/terms","Navient Solutions, Inc."
"308963","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"308998","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"309009","Student loan","Having problems with customer service","Navient Solutions, Inc."
"309013","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"309016","Student loan","Can't decrease my monthly payments","JPMorgan Chase & Co."
"309048","Student loan","Keep getting calls about my loan","Navient Solutions, Inc."
"309094","Student loan","Repaying your loan","Navient Solutions, Inc."
"309173","Student loan","Can't temporarily postpone payments","AES/PHEAA"
"309218","Student loan","Don't agree with fees charged","Navient Solutions, Inc."
"309253","Student loan","Trouble with how payments are handled","Glenn Associates, Inc."
"309284","Student loan","Need information about my balance/terms","Navient Solutions, Inc."
"309350","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"309376","Student loan","Can't get flexible payment options","JPMorgan Chase & Co."
"309423","Student loan","Received bad information about my loan","Education Management Corporation"
"309446","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"309470","Student loan","Can't temporarily postpone payments","Navient Solutions, Inc."
"309478","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"309485","Student loan","Can't decrease my monthly payments","Great Lakes"
"309494","Student loan","Having problems with customer service","Navient Solutions, Inc."
"309507","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"309553","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"309561","Student loan","Received bad information about my loan","Navient Solutions, Inc."
"309608","Student loan","Can't qualify for a loan","Navient Solutions, Inc."
"309636","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"309645","Student loan","Don't agree with fees charged","TCF National Bank"
"309666","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"309683","Student loan","Can't get flexible payment options","JPMorgan Chase & Co."
"309687","Student loan","Can't temporarily postpone payments","AES/PHEAA"
"309757","Student loan","Don't agree with fees charged","AES/PHEAA"
"309758","Student loan","Can't decrease my monthly payments","Iowa Student Loan"
"309779","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"309807","Student loan","Having problems with customer service","ACS Education Services"
"309863","Student loan","Can't get flexible payment options","AES/PHEAA"
"309921","Student loan","Can't decrease my monthly payments","Higher Education Student Assistance Authority (HESAA)"
"309925","Student loan","Can't get flexible payment options","AES/PHEAA"
"309936","Student loan","Can't get flexible payment options","Access Group"
"309981","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"309997","Student loan","Can't decrease my monthly payments","JPMorgan Chase & Co."
"310024","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"310211","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"310225","Student loan","Can't qualify for a loan","Wells Fargo & Company"
"310242","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"310273","Student loan","Trouble with how payments are handled","Texas Higher Education Coordinating Board"
"310385","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"310424","Student loan","Can't temporarily postpone payments","JPMorgan Chase & Co."
"310441","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"310455","Student loan","Don't agree with fees charged","ACS Education Services"
"310460","Student loan","Trouble with how payments are handled","Great Lakes"
"310541","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"310628","Student loan","Don't agree with fees charged","Navient Solutions, Inc."
"310669","Student loan","Can't get flexible payment options","Zwicker & Associates"
"310679","Student loan","Don't agree with fees charged","Wells Fargo & Company"
"310708","Student loan","Received bad information about my loan","KeyBank NA"
"310822","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"310834","Student loan","Don't agree with fees charged","Citibank"
"310848","Student loan","Don't agree with fees charged","Navient Solutions, Inc."
"310942","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"310983","Student loan","Don't agree with fees charged","Navient Solutions, Inc."
"311098","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"311116","Student loan","Can't temporarily postpone payments","Navient Solutions, Inc."
"311199","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"311294","Student loan","Can't get flexible payment options","AES/PHEAA"
"311308","Student loan","Having problems with customer service","Citibank"
"311413","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"311420","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"311433","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"311502","Student loan","Can't temporarily postpone payments","KeyBank NA"
"311518","Student loan","Can't decrease my monthly payments","First Associates Loan Servicing LLC"
"311563","Student loan","Can't get flexible payment options","Higher Education Student Assistance Authority (HESAA)"
"311619","Student loan","Received bad information about my loan","Navient Solutions, Inc."
"311745","Student loan","Can't decrease my monthly payments","Wells Fargo & Company"
"311749","Student loan","Having problems with customer service","Navient Solutions, Inc."
"311891","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"311910","Student loan","Can't decrease my monthly payments","AES/PHEAA"
"311960","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"311983","Student loan","Don't agree with fees charged","First Associates Loan Servicing LLC"
"312047","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"312063","Student loan","Can't temporarily postpone payments","Navient Solutions, Inc."
"312129","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"312150","Student loan","Can't get flexible payment options","Brumbaugh & Quandahl"
"312211","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"312220","Student loan","Can't decrease my monthly payments","AES/PHEAA"
"312308","Student loan","Keep getting calls about my loan","Navient Solutions, Inc."
"312384","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"312448","Student loan","Trouble with how payments are handled","ACS Education Services"
"312466","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"312479","Student loan","Need information about my balance/terms","Citibank"
"312491","Student loan","Trouble with how payments are handled","Sallie Mae"
"312522","Student loan","Can't temporarily postpone payments","AES/PHEAA"
"312531","Student loan","Having problems with customer service","Navient Solutions, Inc."
"312557","Student loan","Don't agree with fees charged","JPMorgan Chase & Co."
"312562","Student loan","Can't temporarily postpone payments","First Associates Loan Servicing LLC"
"312574","Student loan","Can't decrease my monthly payments","Wells Fargo & Company"
"312611","Student loan","Can't temporarily postpone payments","ACS Education Services"
"312652","Student loan","Received bad information about my loan","Citibank"
"312671","Student loan","Can't temporarily postpone payments","ACS Education Services"
"312759","Student loan","Can't decrease my monthly payments","Sallie Mae"
"312814","Student loan","Don't agree with fees charged","Navient Solutions, Inc."
"312827","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"312884","Student loan","Trouble with how payments are handled","Wells Fargo & Company"
"312888","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"312907","Student loan","Don't agree with fees charged","Navient Solutions, Inc."
"312921","Student loan","Can't temporarily postpone payments","Navient Solutions, Inc."
"312930","Student loan","Can't decrease my monthly payments","Discover"
"312949","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"312992","Student loan","Received bad information about my loan","Sallie Mae"
"313000","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"313005","Student loan","Don't agree with fees charged","Universal Account Servicing, LLC"
"313006","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"313058","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"313060","Student loan","Can't decrease my monthly payments","KeyBank NA"
"313150","Student loan","Can't decrease my monthly payments","AES/PHEAA"
"313168","Student loan","Can't decrease my monthly payments","Discover"
"313208","Student loan","Received bad information about my loan","Navient Solutions, Inc."
"313278","Student loan","Can't temporarily postpone payments","Wells Fargo & Company"
"313292","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"313457","Student loan","Need information about my balance/terms","Navient Solutions, Inc."
"313519","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"313531","Student loan","Can't get flexible payment options","JPMorgan Chase & Co."
"313537","Student loan","Can't get flexible payment options","AES/PHEAA"
"313577","Student loan","Need information about my balance/terms","Navient Solutions, Inc."
"313583","Student loan","Need information about my balance/terms","Sallie Mae"
"313597","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"313732","Student loan","Can't temporarily postpone payments","U.S. Bancorp"
"313736","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"313739","Student loan","Trouble with how payments are handled","Wells Fargo & Company"
"313751","Student loan","Received bad information about my loan","ACS Education Services"
"313794","Student loan","Can't decrease my monthly payments","JPMorgan Chase & Co."
"313824","Student loan","Having problems with customer service","Sallie Mae"
"313879","Student loan","Keep getting calls about my loan","Navient Solutions, Inc."
"313880","Student loan","Can't get flexible payment options","ACS Education Services"
"313896","Student loan","Trouble with how payments are handled","JPMorgan Chase & Co."
"314112","Student loan","Don't agree with fees charged","AES/PHEAA"
"314117","Student loan","Can't temporarily postpone payments","Sallie Mae"
"314163","Student loan","Can't decrease my monthly payments","ACS Education Services"
"314205","Student loan","Received bad information about my loan","FirstSource Advantage, LLC"
"314337","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"314476","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"314483","Student loan","Can't temporarily postpone payments","Navient Solutions, Inc."
"314495","Student loan","Can't get flexible payment options","JPMorgan Chase & Co."
"314498","Student loan","Received bad information about my loan","Sallie Mae"
"314504","Student loan","Received bad information about my loan","JPMorgan Chase & Co."
"314516","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"314679","Student loan","Having problems with customer service","Navient Solutions, Inc."
"314726","Student loan","Can't get flexible payment options","AES/PHEAA"
"314762","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"314767","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"314780","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"314796","Student loan","Can't temporarily postpone payments","JPMorgan Chase & Co."
"314855","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"314901","Student loan","Can't decrease my monthly payments","Higher Education Student Assistance Authority (HESAA)"
"315068","Student loan","Received bad information about my loan","KeyBank NA"
"315139","Student loan","Having problems with customer service","Rhode Island Student Loan Authority"
"315193","Student loan","Keep getting calls about my loan","Citizens Financial Group, Inc."
"315229","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"315255","Student loan","Qualify for a better loan than offered","Wells Fargo & Company"
"315277","Student loan","Received bad information about my loan","ECMC Group, Inc."
"315344","Student loan","Trouble with how payments are handled","ACS Education Services"
"315368","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"315436","Student loan","Trouble with how payments are handled","AES/PHEAA"
"315478","Student loan","Can't decrease my monthly payments","Sallie Mae"
"315543","Student loan","Keep getting calls about my loan","Navient Solutions, Inc."
"315597","Student loan","Keep getting calls about my loan","Texas Higher Education Coordinating Board"
"315607","Student loan","Keep getting calls about my loan","Student Loan Finance Corporation"
"315633","Student loan","Don't agree with fees charged","Navient Solutions, Inc."
"315655","Student loan","Having problems with customer service","AES/PHEAA"
"315657","Student loan","Can't decrease my monthly payments","Expert Global Solutions, Inc."
"315664","Student loan","Can't get flexible payment options","AES/PHEAA"
"315665","Student loan","Keep getting calls about my loan","Navient Solutions, Inc."
"315722","Student loan","Can't get flexible payment options","KeyBank NA"
"315738","Student loan","Received bad information about my loan","Navient Solutions, Inc."
"315746","Student loan","Received bad information about my loan","Navient Solutions, Inc."
"315748","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"315791","Student loan","Can't temporarily postpone payments","JPMorgan Chase & Co."
"315798","Student loan","Received bad information about my loan","ECMC Group, Inc."
"315845","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"315855","Student loan","Can't decrease my monthly payments","First Associates Loan Servicing LLC"
"315879","Student loan","Can't temporarily postpone payments","First Associates Loan Servicing LLC"
"315881","Student loan","Can't get flexible payment options","First Associates Loan Servicing LLC"
"315902","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"315906","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"315936","Student loan","Having problems with customer service","Navient Solutions, Inc."
"315944","Student loan","Can't get flexible payment options","First Associates Loan Servicing LLC"
"315949","Student loan","Can't decrease my monthly payments","JPMorgan Chase & Co."
"316037","Student loan","Can't decrease my monthly payments","Great Lakes"
"316083","Student loan","Can't decrease my monthly payments","AES/PHEAA"
"316088","Student loan","Received bad information about my loan","National Enterprise Systems, Inc."
"316097","Student loan","Trouble with how payments are handled","Wells Fargo & Company"
"316173","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"316205","Student loan","Trouble with how payments are handled","Wells Fargo & Company"
"316219","Student loan","Don't agree with fees charged","Navient Solutions, Inc."
"316232","Student loan","Trouble with how payments are handled","ACS Education Services"
"316305","Student loan","Having problems with customer service","Coast Professional, Inc."
"316389","Student loan","Can't decrease my monthly payments","Discover"
"316410","Student loan","Qualify for a better loan than offered","First Associates Loan Servicing LLC"
"316415","Student loan","Can't decrease my monthly payments","Discover"
"316490","Student loan","Don't agree with fees charged","Navient Solutions, Inc."
"316505","Student loan","Trouble with how payments are handled","ACS Education Services"
"316548","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"316569","Student loan","Can't decrease my monthly payments","AES/PHEAA"
"316583","Student loan","Don't agree with fees charged","Navient Solutions, Inc."
"316598","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"316652","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"316708","Student loan","Received bad information about my loan","ECMC Group, Inc."
"316724","Student loan","Can't temporarily postpone payments","KeyBank NA"
"316727","Student loan","Can't get flexible payment options","ACS Education Services"
"316784","Student loan","Keep getting calls about my loan","Navient Solutions, Inc."
"316867","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"316883","Student loan","Trouble with how payments are handled","Expert Global Solutions, Inc."
"316904","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"316981","Student loan","Don't agree with fees charged","Allied Interstate LLC"
"316995","Student loan","Don't agree with fees charged","Sallie Mae"
"317032","Student loan","Can't get flexible payment options","JPMorgan Chase & Co."
"317052","Student loan","Received bad information about my loan","Student Loan Finance Corporation"
"317087","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"317089","Student loan","Received bad information about my loan","ECMC Group, Inc."
"317103","Student loan","Having problems with customer service","Sallie Mae"
"317148","Student loan","Received bad information about my loan","Navient Solutions, Inc."
"317165","Student loan","Trouble with how payments are handled","JPMorgan Chase & Co."
"317188","Student loan","Received bad information about my loan","Sallie Mae"
"317230","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"317239","Student loan","Keep getting calls about my loan","Navient Solutions, Inc."
"317350","Student loan","Can't temporarily postpone payments","Navient Solutions, Inc."
"317407","Student loan","Received bad information about my loan","Navient Solutions, Inc."
"317430","Student loan","Trouble with how payments are handled","National Enterprise Systems, Inc."
"317445","Student loan","Need information about my balance/terms","Navient Solutions, Inc."
"317450","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"317488","Student loan","Trouble with how payments are handled","AES/PHEAA"
"317504","Student loan","Can't get flexible payment options","AES/PHEAA"
"317537","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"317602","Student loan","Can't decrease my monthly payments","JPMorgan Chase & Co."
"317645","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"317669","Student loan","Keep getting calls about my loan","Navient Solutions, Inc."
"317672","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"317748","Student loan","Having problems with customer service","American Coradius International LLC"
"317755","Student loan","Having problems with customer service","Navient Solutions, Inc."
"317799","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"317812","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"317828","Student loan","Don't agree with fees charged","Wells Fargo & Company"
"317830","Student loan","Can't decrease my monthly payments","Citibank"
"317850","Student loan","Trouble with how payments are handled","Sallie Mae"
"317922","Student loan","Keep getting calls about my loan","Van Ru Credit Corporation"
"317953","Student loan","Can't qualify for a loan","Citibank"
"317982","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"318014","Student loan","Can't qualify for a loan","Discover"
"318020","Student loan","Received bad information about my loan","Integrity Solution Services, Inc."
"318058","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"318077","Student loan","Need information about my balance/terms","Navient Solutions, Inc."
"318101","Student loan","Trouble with how payments are handled","Wells Fargo & Company"
"318151","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"318181","Student loan","Trouble with how payments are handled","Wells Fargo & Company"
"318240","Student loan","Don't agree with fees charged","Navient Solutions, Inc."
"318244","Student loan","Having problems with customer service","Navient Solutions, Inc."
"318271","Student loan","Can't temporarily postpone payments","MOHELA"
"318311","Student loan","Can't temporarily postpone payments","Citibank"
"318343","Student loan","Can't decrease my monthly payments","Sallie Mae"
"318438","Student loan","Can't decrease my monthly payments","Genesis Lending"
"318458","Student loan","Trouble with how payments are handled","KeyBank NA"
"318568","Student loan","Can't qualify for a loan","Citibank"
"318608","Student loan","Can't get flexible payment options","Sallie Mae"
"318623","Student loan","Can't get flexible payment options","Machol & Johannes, LLC"
"318658","Student loan","Trouble with how payments are handled","KeyBank NA"
"318687","Student loan","Having problems with customer service","Sallie Mae"
"318717","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"318923","Student loan","Can't temporarily postpone payments","MEFA"
"318971","Student loan","Can't get flexible payment options","AES/PHEAA"
"318982","Student loan","Having problems with customer service","JPMorgan Chase & Co."
"319024","Student loan","Having problems with customer service","Sallie Mae"
"319080","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"319083","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"319216","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"319259","Student loan","Having problems with customer service","National Enterprise Systems, Inc."
"319330","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"319331","Student loan","Trouble with how payments are handled","Citizens Financial Group, Inc."
"319332","Student loan","Keep getting calls about my loan","Primary Financial Services L.L.C."
"319409","Student loan","Trouble with how payments are handled","Great Lakes"
"319503","Student loan","Can't temporarily postpone payments","AES/PHEAA"
"319616","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"319617","Student loan","Can't temporarily postpone payments","Navient Solutions, Inc."
"319655","Student loan","Need information about my balance/terms","Citibank"
"319668","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"319681","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"319754","Student loan","Can't decrease my monthly payments","Discover"
"319787","Student loan","Can't decrease my monthly payments","Sallie Mae"
"319809","Student loan","Can't get flexible payment options","Loan To Learn"
"319811","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"319816","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"319948","Student loan","Can't get flexible payment options","Iowa Student Loan"
"319959","Student loan","Can't temporarily postpone payments","Navient Solutions, Inc."
"320043","Student loan","Keep getting calls about my loan","Navient Solutions, Inc."
"320138","Student loan","Can't decrease my monthly payments","First Associates Loan Servicing LLC"
