"","Product","Sub.issue","Company"
"10218","Student loan","Repaying your loan","ACS Education Services"
"10247","Student loan","Problems when you are unable to pay","JPMorgan Chase & Co."
"10260","Student loan","Repaying your loan","Navient Solutions, Inc."
"10324","Student loan","Repaying your loan","Navient Solutions, Inc."
"10350","Student loan","Repaying your loan","ACS Education Services"
"10362","Student loan","Problems when you are unable to pay","Citibank"
"10384","Student loan","Problems when you are unable to pay","Navient Solutions, Inc."
"10418","Student loan","Repaying your loan","Navient Solutions, Inc."
"10506","Student loan","Repaying your loan","ECMC Group, Inc."
"10512","Student loan","Repaying your loan","Navient Solutions, Inc."
"10578","Student loan","Problems when you are unable to pay","JPMorgan Chase & Co."
"10625","Student loan","Problems when you are unable to pay","Navient Solutions, Inc."
"10661","Student loan","Repaying your loan","Rhode Island Student Loan Authority"
"10714","Student loan","Received bad information about my loan","Sallie Mae"
"10719","Student loan","Repaying your loan","Navient Solutions, Inc."
"10918","Student loan","Repaying your loan","Sallie Mae"
"10921","Student loan","Getting a loan","AES/PHEAA"
"10927","Student loan","Repaying your loan","KeyBank NA"
"10973","Student loan","Getting a loan","Discover"
"10978","Student loan","Repaying your loan","Navient Solutions, Inc."
"11024","Student loan","Problems when you are unable to pay","JPMorgan Chase & Co."
"11203","Student loan","Repaying your loan","Navient Solutions, Inc."
"11235","Student loan","Keep getting calls about my loan","Navient Solutions, Inc."
"11292","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"11304","Student loan","Problems when you are unable to pay","Navient Solutions, Inc."
"11346","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"11349","Student loan","Getting a loan","Navient Solutions, Inc."
"11448","Student loan","Can't get flexible payment options","Sallie Mae"
"11455","Student loan","Trouble with how payments are handled","SIMM Associates, Inc."
"11510","Student loan","Repaying your loan","Navient Solutions, Inc."
"11520","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"11551","Student loan","Repaying your loan","Discover"
"11555","Student loan","Keep getting calls about my loan","Navient Solutions, Inc."
"11573","Student loan","Repaying your loan","Great Lakes"
"11578","Student loan","Need information about my balance/terms","AES/PHEAA"
"11622","Student loan","Repaying your loan","Student Loan Finance Corporation"
"11670","Student loan","Repaying your loan","KeyBank NA"
"11682","Student loan","Can't temporarily postpone payments","JPMorgan Chase & Co."
"11734","Student loan","Repaying your loan","Sallie Mae"
"11772","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"11843","Student loan","Trouble with how payments are handled","Expert Global Solutions, Inc."
"11845","Student loan","Having problems with customer service","Citibank"
"11879","Student loan","Repaying your loan","Navient Solutions, Inc."
"11905","Student loan","Problems when you are unable to pay","Navient Solutions, Inc."
"11932","Student loan","Problems when you are unable to pay","Navient Solutions, Inc."
"11941","Student loan","Repaying your loan","Navient Solutions, Inc."
"11943","Student loan","Problems when you are unable to pay","Navient Solutions, Inc."
